V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
1500,18659,2,44,4500,2,0,21889,22544,0,23401,3000,22721,0,0,1200,2,2000,25000,30000
0,15743,-1,30,1205,0,-2,9161,9814,0,0,0,8252,9402,0,0,0,0,0,180000
4600,53530,2,36,3000,2,2,55581,55081,2,61145,2500,59253,2000,2,3000,2,2200,62181,100000
2000,80237,0,32,3000,0,0,64469,69568,0,55852,1500,54020,2500,0,3000,0,2000,44286,80000
1500,1654,0,30,32000,0,0,34395,33257,0,36249,1600,35321,2000,0,1500,-1,1400,37047,210000
2740,32050,-1,37,3872,-1,-1,52150,3872,-1,4626,0,2740,52150,-1,4626,-1,802,802,120000
0,0,-1,37,245,-1,-2,0,245,-2,0,0,0,0,-2,0,1,0,0,450000
7486,2035,-1,37,11009,-1,-2,9360,11009,-2,4402,6059,7480,9370,-2,4402,-2,3646,3646,280000
15000,171160,0,39,13000,0,0,171095,187853,0,141319,5000,137986,6154,0,6000,0,7000,139463,170000
649,23469,0,29,1437,0,0,22792,23110,0,19116,226,20861,1236,0,831,0,568,15286,50000
0,45251,0,40,1800,0,2,45674,42685,2,47624,0,44639,3700,2,3707,2,1900,48592,70000
0,360,-2,40,0,-2,-2,0,0,-2,0,0,0,0,-2,0,-2,0,0,230000
1500,29596,0,47,1600,0,0,29523,29625,0,29464,2301,29494,1500,0,1500,0,2000,29891,30000
4636,141415,0,45,5457,0,0,147635,144592,0,132219,5000,129507,5661,0,4800,0,4850,134869,150000
0,115,-2,33,894,-2,-2,0,894,-2,0,0,0,0,-2,0,-2,0,0,310000
1894,96814,0,23,10008,0,0,68984,69870,0,44705,62529,55559,20014,0,6425,0,2204,28223,160000
0,99307,0,28,6700,0,0,110366,104403,2,98615,0,101550,10605,0,4751,0,1754,49730,180000
20,48423,-1,22,2150,0,0,956,44450,0,1976,1000,976,956,0,1000,0,1000,2939,50000
1531,35619,0,29,1745,0,0,12200,22745,0,10131,0,9531,1200,0,3500,0,0,0,180000
10000,101803,0,36,5005,0,0,96333,100836,0,100652,4225,97475,7066,0,5000,0,1823,1823,280000
1500,23439,0,27,3300,0,0,29182,26042,2,29292,1200,29906,3900,2,0,0,1074,29729,60000
8500,216409,2,30,10000,2,2,224753,221419,2,232724,200,228022,8500,2,8500,2,32000,260472,230000
0,18487,0,41,2620,0,0,13010,12366,0,17945,1280,12620,1000,0,13945,0,7116,20030,400000
0,1799,-2,28,1782,-2,-2,1848,1768,-2,1601,1077,-8,1857,-2,1609,-2,3,-3,280000
5000,241191,0,42,10000,0,0,113296,114291,0,36491,5000,35048,5449,0,2000,0,2000,37252,330000
39041,36550,-1,39,18795,-1,-1,22376,18752,-1,4233,28337,39018,22398,-1,4233,-1,397,397,500000
7500,234867,0,28,10500,0,0,215343,237497,0,207688,7100,205576,9150,0,8000,0,7500,198955,260000
2011,36875,0,48,1192,0,-1,32389,26031,0,17191,10000,32830,32382,2,0,0,72198,72198,500000
2750,3189,-1,32,3248,-1,-1,3421,3203,-1,2750,2313,2750,3421,-1,2750,-1,5224,5224,160000
529,24458,0,25,5000,0,0,28230,29022,0,21954,347,22204,1518,0,535,0,750,22606,30000
1322,57033,0,43,2880,0,0,59732,58994,0,37684,1369,36914,2473,0,1366,0,1554,38613,60000
22209,76996,-1,28,11515,-1,-1,13392,11515,-1,54807,37935,22209,13419,-1,54807,-1,62534,62534,260000
9905,9377,-1,42,9540,-1,-1,9850,9534,-1,8540,3080,9905,9856,-1,8540,-1,8785,8785,210000
8600,93962,0,29,3500,0,2,98354,95955,0,107500,8100,105327,4000,2,4000,0,0,105614,180000
2172,105365,0,54,5030,0,-1,108486,108702,0,18809,25311,94119,2698,0,376,0,40619,40619,80000
1500,17359,0,28,2700,0,0,17723,16828,0,12249,300,18733,4150,0,577,0,8000,19910,20000
0,0,-2,24,0,-2,-2,0,0,-2,0,400,0,0,-2,0,-2,0,0,80000
8000,231024,0,39,10000,0,0,213219,208119,0,208890,20000,202106,10000,0,10000,0,10000,215455,260000
90000,89095,0,39,6000,0,0,111899,93634,0,177073,10000,199682,20000,0,9000,0,10000,175979,460000
2000,29836,2,28,1800,3,0,30658,30856,2,31207,1500,31850,600,2,0,1,1500,32037,70000
592,26808,0,26,30040,0,0,32088,44361,0,15117,2023,20100,2037,0,5003,0,5012,18501,50000
6006,113647,0,51,5001,0,0,119935,117322,0,128108,0,124913,4000,0,5000,0,5008,131382,150000
2637,1565,-1,42,1733,-1,-1,2472,1733,-1,989,277,2626,2492,-1,992,-1,4667,4647,390000
0,13185,0,32,1255,0,0,6815,5070,2,7798,500,6068,2000,0,2000,0,1000,8511,50000
0,0,-2,28,0,-2,-2,0,0,-2,0,0,0,0,-2,0,-2,0,0,150000
0,0,-1,31,1730,-1,-1,2457,1730,0,2655,0,2192,2459,-1,2655,1,0,0,120000
822,17990,0,22,0,2,2,18608,17413,0,20690,220,19138,1502,0,2000,-1,0,20174,20000
12920,45756,-2,23,9187,-2,-2,5408,9187,-2,9656,4513,12920,5408,-2,9656,-2,4737,4737,100000
8000,214277,0,26,10000,0,0,198551,199757,0,203636,10035,201945,7500,0,7409,0,7869,205104,270000
1100,46724,0,29,2000,0,0,32812,35074,0,26414,1000,25930,2000,0,1000,0,1100,27128,80000
3000,2522,-1,49,1173,-1,0,-88,1173,-1,390,780,2912,0,0,0,0,0,390,50000
0,200716,0,48,8812,0,0,205530,203751,0,171696,7000,-170000,9158,-1,497000,0,10000,174151,260000
0,0,-2,52,0,-2,-2,0,0,-2,0,0,0,0,-2,0,1,0,0,360000
990,673,-1,39,4576,-1,-1,7566,4549,-1,4870,317,987,7642,-1,4889,-2,981,975,430000
300,1291,0,23,1100,0,0,2895,2075,0,2500,250,2698,1181,0,300,-1,300,2296,50000
0,22683,2,26,2219,0,0,2130,24349,0,32,0,2130,0,0,0,0,0,-780,150000
277,42437,0,25,2265,0,0,19538,35082,0,3200,0,13277,2538,0,200,0,0,0,150000
0,3527,0,38,1241,0,2,5867,4556,3,5126,0,5495,1700,2,0,-1,1000,5899,20000
2502,8417,0,33,1700,0,0,8567,6281,0,10063,0,10046,4700,0,1500,0,3000,10132,10000
1000,15703,2,24,4663,0,0,19096,19775,0,20164,0,19612,0,0,1000,0,5000,19771,20000
5000,48399,0,38,1764,0,-1,36162,48241,0,40855,1721,36560,1400,0,5000,0,885,885,60000
3138,3144,0,37,5734,-1,-1,2297,5688,-1,3172,2394,3115,2018,-1,3187,-1,1597,1589,300000
7957,13006,-1,34,524,-1,-1,1790,522,-1,3044,11219,7957,1790,-1,3044,-1,27603,27603,390000
6272,12660,-1,25,5000,-1,0,0,5000,-1,10135,0,6272,0,0,4000,-1,2000,11958,100000
600,33322,0,25,1900,0,-1,28418,29500,0,14210,2576,16084,1864,0,600,0,711,711,180000
3000,33639,0,31,5000,0,0,40990,37373,0,38367,3000,42415,5000,0,2000,-1,2000,37940,340000
0,0,-2,36,298887,-2,-2,0,298887,-2,0,199417,0,0,-2,0,-2,0,0,310000
2779,1743,-2,28,0,-1,-2,0,0,-1,0,0,2779,0,-1,0,-1,0,0,30000
5000,116497,0,57,5000,0,0,98109,109247,0,75237,5000,74387,5007,0,5000,0,5000,78967,120000
4200,107599,0,27,4030,0,0,112635,109902,0,117556,21932,114472,4600,0,5000,0,5000,116090,130000
0,0,-2,33,0,-2,-2,0,0,-2,0,0,0,0,-2,0,1,0,0,200000
5000,45972,0,38,5000,0,0,47329,49874,0,36193,15000,35587,5000,0,5000,0,5000,29978,60000
0,3167,0,25,13879,-1,-1,12848,13680,0,6868,0,8445,4000,0,0,-1,1310,1310,150000
0,16925,-1,44,1411,-1,3,1696,1411,2,2714,0,1437,1200,2,1479,-2,0,2202,240000
0,3594,-2,29,0,-1,-2,0,0,-2,0,0,0,0,-2,0,-1,0,0,130000
8213,14885,2,22,1939,-1,0,17498,16579,0,25626,3200,25032,1500,0,1000,-1,2000,27191,30000
665,16196,0,34,1292,0,0,18231,17220,0,18986,636,18593,1303,0,692,0,1300,19967,290000
3000,86883,0,27,40000,0,0,77188,99516,0,79941,3300,78304,3400,0,3052,0,3190,81648,130000
0,98,-1,33,1120,-1,-1,0,1090,-2,580,0,0,0,-1,580,-1,500,500,210000
0,4759,2,47,0,3,-1,4284,4540,0,1473,1473,2946,0,0,0,1,1473,1473,50000
12808,12451,-1,32,24120,-2,0,15688,24095,0,12144,90231,24511,15791,0,8090,-2,34110,34963,530000
607,20376,0,46,2000,0,0,19907,19927,0,17484,20538,19349,1500,0,1360,0,1300,-1216,20000
5000,131629,0,42,5300,0,0,129544,131374,0,132958,4800,131937,5100,0,4700,0,5000,134525,170000
20000,16090,-1,33,4991,-1,2,-1350,4991,-1,350,16115,18150,0,-1,350,-1,0,200,220000
0,991,-1,40,991,-1,-1,1316,991,0,1657,325,325,1316,-1,1657,-1,325,325,180000
0,44826,0,27,1092,0,-2,0,40650,-2,0,0,0,0,-2,0,0,0,0,130000
3032,78688,0,34,4000,0,0,76681,80539,0,27398,2000,34197,2333,-1,28298,0,2000,28646,80000
2000,48725,0,23,4987,0,2,50115,51175,0,34423,3213,33814,1661,0,3000,0,0,31988,50000
2000,14536,0,35,2000,0,-1,9594,10827,0,1277,0,7309,2000,-1,1277,0,3294,3310,50000
0,19074,2,59,0,2,2,20329,18482,4,19303,2821,19616,2300,3,0,1,0,1013,20000
6000,157389,0,24,6800,0,0,162309,158475,0,160085,6000,162462,6500,0,6200,0,6200,158236,160000
0,0,-2,33,0,-2,-2,0,0,-2,0,0,0,0,-2,0,1,0,0,130000
800,729,-1,39,0,-1,-1,236,0,-1,227,0,766,236,-1,227,-1,0,0,300000
50119,146368,0,35,101585,0,0,210226,244092,0,153181,54184,177595,90762,2,282,0,50436,145852,280000
0,-6,-1,47,0,-2,-1,1251,-6,-1,0,421,0,1257,-2,0,1,679,679,180000
0,12109,2,30,1300,2,2,13909,12917,3,13036,0,13394,1500,2,0,2,2200,15019,30000
0,2346,-2,24,0,-1,-2,0,0,-2,0,0,0,0,-2,0,-1,0,0,80000
0,25719,0,31,5000,0,0,32451,29961,2,34115,4000,31630,3000,0,3000,2,3000,36551,120000
582,291,-1,53,291,-1,-1,0,291,-1,291,582,582,0,-1,291,-1,0,0,120000
2500,68943,0,36,8000,0,0,61114,75024,0,55489,4000,60586,5000,0,5000,0,4000,55702,380000
2000,78887,0,32,2569,0,0,48198,69433,0,49939,2008,49182,2000,0,1770,0,2002,50626,80000
196,7888,0,21,1383,0,0,9604,8987,0,10000,0,9800,1000,0,200,0,1000,0,10000
3220,135066,0,27,5600,0,0,97575,121769,0,95790,3400,93763,4000,0,3400,0,3252,92855,210000
5314,10317,-1,36,5788,-1,0,8587,5755,0,6987,6000,7782,8587,0,5000,0,5000,7662,200000
31744,868,-1,27,1320,-1,-1,1757,1317,-1,3842,291,31741,1770,0,1,-1,2606,2450,260000
13014,258257,0,31,25239,0,0,197247,247282,0,210940,89442,188044,18011,0,45049,0,20102,201108,500000
0,7300,-1,36,3238,-1,-2,2655,3238,-1,0,1966,2200,2655,-2,0,2,0,0,200000
1000,50906,0,42,2009,0,0,47037,48888,0,9962,1000,12187,1180,0,1000,0,348,10015,50000
5300,138036,0,28,6600,0,0,144072,140922,0,142807,5500,142381,7000,0,6000,0,5500,141635,140000
0,83150,-2,45,0,0,-2,0,-8000,-2,0,0,0,8000,-2,0,0,0,0,80000
0,4050,0,35,1073,0,0,6630,4914,2,9721,3425,6393,1789,0,3425,0,1000,10584,320000
900,7826,2,24,1200,2,2,8440,8745,2,8969,0,9229,0,2,0,1,2000,8819,10000
5246,14895,-1,41,6750,-1,-1,5784,6750,-1,3760,7435,5246,5784,-1,3760,0,11411,11411,60000
1000,46096,0,28,1442,0,0,26331,25370,0,25269,1000,24749,1403,0,919,0,2000,26847,50000
2000,26836,2,29,2500,2,0,30571,28894,2,30389,1000,31011,2670,2,0,2,1000,30115,30000
0,-897,-2,33,0,-2,-2,-897,-897,-2,-897,0,-897,0,-2,0,1,0,-897,480000
1800,23171,2,44,0,3,2,21863,22523,2,22783,780,23296,0,2,0,1,1910,24310,30000
150,0,-2,41,0,-2,-1,0,0,-1,150,136869,150,0,-1,150,-2,1929,1929,410000
2000,38219,2,33,5000,0,2,44607,42604,2,46495,2000,45576,3000,2,1800,0,1600,47182,100000
5724,1989,-1,39,4566,-1,2,5329,4566,-1,1518,3167,5724,5433,-1,1336,-1,0,1336,310000
14000,415257,0,37,16850,0,0,388363,411624,0,398229,12733,390003,15522,0,14500,0,18007,409615,420000
0,0,-2,37,0,-2,-2,0,0,-2,0,0,0,0,-2,0,1,0,0,500000
1156,36124,0,36,2500,0,0,34359,35538,0,30633,3000,32450,2215,0,1200,0,3000,30628,30000
0,-66,-2,31,0,-2,-2,-33,-33,-2,-33,0,-33,0,-2,0,-2,0,-33,120000
189,48992,0,26,1769,0,0,31368,49689,0,6020,3710,9454,1003,0,120,0,100,5000,50000
386,17432,-1,23,1165,-1,-1,19325,1165,0,18430,5125,19311,19325,0,369,-1,400,400,20000
1200,2988,0,38,1222,0,-1,3417,3983,0,186,0,3267,1000,-1,186,0,1200,1200,400000
5000,10448,0,36,0,2,2,14516,10144,0,9298,0,19396,5000,2,0,1,5000,14116,110000
26257,6540,-2,32,17301,-2,-2,3009,17288,-2,15643,12149,20311,3009,-2,15643,-2,5696,5696,200000
759,18462,0,22,1510,0,-1,19674,16699,0,9546,1946,19258,3875,-1,10000,0,19126,12051,20000
5500,150616,0,32,0,2,0,149449,146262,0,153878,5100,150893,7100,0,6000,3,6000,157324,270000
10000,83138,0,30,14038,0,-1,84117,93416,0,3154,9189,28683,5018,-1,3154,0,13603,13603,260000
5000,162530,0,32,6100,0,0,96835,155831,0,80462,3000,89223,4252,0,2780,0,4881,73899,310000
3493,-3309,0,43,184212,-1,0,167125,177952,0,142662,3876,139784,5482,0,3590,1,3815,145725,210000
500,11402,0,45,0,2,0,11940,10928,0,12544,500,12241,1200,0,500,1,500,12835,40000
0,0,-2,25,0,-2,-1,0,0,-2,13369,0,0,0,-1,13369,1,0,0,80000
3000,42755,0,30,3000,0,2,46104,45053,0,53549,2000,48327,1800,0,6000,0,2900,52457,80000
1000,47642,0,26,4000,0,0,34570,40779,0,24969,1000,33153,2006,0,1000,0,1000,22893,170000
45086,2171,-1,46,1068,-1,0,91502,1063,-1,84773,9890,100125,91679,0,2223,-1,2091,76951,360000
1475,2932,-1,30,0,2,0,2373,2373,-1,3102,2373,1475,2373,-1,4000,1,3000,3151,110000
4362,186109,0,26,5929,0,0,97223,168198,0,102844,105,202134,3272,0,5040,0,3195,39995,210000
20000,42094,0,46,10600,-1,0,31532,10594,0,56571,10000,46342,30000,0,15000,0,10000,65268,360000
2,3571,-1,40,2309,-1,2,2632,2298,0,5559,2730,904,2637,-1,5567,-1,8,2748,240000
0,1841,2,40,2,2,-1,-13,764,-2,687,0,-13,0,-1,700,-1,0,-44,240000
12657,3987,-1,34,1631,-1,0,21698,1631,-1,11349,25000,12657,21698,0,569,-1,3000,9006,200000
363,0,-2,37,0,-2,-1,0,0,-1,0,2000,363,0,-1,0,1,944,944,300000
22,706,-1,44,1242,-1,-1,380,1108,-2,2305,6026,-270,380,-1,2575,1,3009,2733,500000
1707,1551,-1,26,2990,-1,-1,4175,2961,-1,4492,34672,1707,4175,-1,4492,-1,6149,6149,150000
40000,145074,0,40,11000,0,-1,149313,152179,0,136084,201277,129768,6000,0,42000,0,34880,30312,150000
1725,79537,0,33,2359,0,0,49645,76226,0,47014,1677,50235,1745,0,1704,0,1730,47575,80000
0,2522,-1,34,0,0,-1,2522,0,0,1261,1261,1261,2522,-1,1261,0,1428,1428,50000
900,17393,0,50,1315,0,0,19413,18119,0,19563,0,19704,2401,0,709,2,1548,20391,20000
1149,27516,0,37,2000,0,0,29500,28871,0,29529,990,28914,1435,0,1197,0,1009,29319,50000
0,188894,2,46,10101,2,2,197722,194489,2,203913,7053,192140,8000,2,15000,1,0,200564,280000
2000,12695,2,35,3000,0,0,13420,15453,0,14395,1000,15211,0,0,1000,0,2000,16141,60000
823,1015,-1,52,934,-1,-1,1453,932,-1,1123,926,821,1461,-1,1126,-1,880,878,200000
3000,126532,0,41,4500,0,0,91191,90013,0,83743,6000,86139,4006,0,3000,0,3000,78555,220000
0,-4,-1,32,0,-2,0,1824,-680,0,300,2000,1508,3000,0,0,1,0,-206,140000
0,143568,0,29,7951,0,-2,149506,147715,0,-4394,0,-4394,6890,-2,0,0,0,-4394,300000
3338,10935,-1,36,4081,-1,-1,3943,4079,-1,1224,1088,3338,4283,-1,1224,-1,31022,31022,500000
5000,390,-1,25,780,-1,0,36659,390,0,27376,5000,23150,36659,0,5000,-1,7000,33104,130000
157,157,-1,27,157,-1,-1,157,157,-1,307,357,157,157,-1,307,-1,507,507,70000
1000,31170,0,28,2005,0,0,13738,20413,0,1452,1000,6326,1206,0,600,0,500,1612,50000
10258,72546,0,30,5206,0,-1,62379,74618,0,-669,6029,37137,30176,0,14000,0,15070,14069,220000
1558,0,0,59,7240,-1,-1,7702,7240,-1,12079,0,1550,1000,-1,12079,1,35920,35920,100000
1000,50025,0,23,1626,0,0,19610,22656,0,18078,1000,17801,1581,0,900,0,700,18137,50000
900,2295,0,28,6000,-1,2,13421,5293,0,310,3400,9900,10000,-1,310,0,0,160,60000
750,8214,-2,34,2151,-2,-2,3065,2149,-2,0,377,750,3065,-2,0,-2,0,0,260000
5000,54408,0,40,5000,0,0,61914,57901,0,69792,5000,65863,5000,0,5000,0,5000,73346,440000
0,5310,0,26,29000,0,-2,34536,34105,0,0,0,0,1000,-2,0,-1,0,0,50000
0,30585,0,27,6000,0,-2,0,30138,-2,0,0,0,0,-2,0,-1,0,0,150000
0,487,-1,29,487,-1,-2,2010,487,-1,0,299,0,2010,-2,0,-1,0,0,140000
3272,110786,0,33,6555,0,0,117674,115540,0,114721,15694,108103,6000,0,15874,0,4182,105624,310000
2444,997,-1,34,1270,-1,-1,3935,1267,-1,2797,1,2437,3946,-1,2805,-1,258,256,360000
9460,34661,0,37,5334,-1,0,51293,5309,0,59455,10007,56740,50006,0,9461,0,2507,57532,140000
1000,17094,0,33,2000,0,0,19275,17779,0,15913,2115,18829,3000,0,1000,0,1000,7561,50000
2000,68963,0,24,3000,0,0,60536,64880,0,51724,1794,55708,2700,0,1900,0,1700,48671,100000
1200,26736,2,41,3000,2,0,28328,29052,0,29724,2000,29099,0,0,1200,-1,1500,30624,160000
6100,163418,0,27,6200,0,0,165587,164211,0,161680,7500,161950,7600,0,5900,0,6300,164031,160000
501,296,0,26,1003,0,-1,-1,1299,-1,0,1002,500,0,-1,0,-1,936,936,130000
0,15952,2,35,3100,0,2,19177,18780,2,19721,800,18574,1000,2,1600,0,0,19254,90000
10644,4535,2,40,0,2,-1,-2106,3546,-1,390,780,8538,0,0,0,1,150,150,100000
0,0,-2,25,0,-2,-2,0,0,-2,0,0,0,0,-2,0,1,0,0,30000
2143,59555,0,23,2812,0,0,59501,59684,0,59171,5000,59075,2599,0,2208,0,2112,53557,150000
500,19911,2,37,1500,2,0,20085,20797,0,20469,0,20126,0,0,650,1,600,20655,20000
0,2000,-1,31,0,2,-1,3000,1000,0,1000,0,2000,3000,0,0,3,1150,1150,100000
37171,3580,-1,46,18785,-1,-1,10742,18785,-1,6192,12333,37171,10742,-1,6192,-1,31453,31453,500000
600,47357,0,36,3000,0,-1,50556,49260,0,9959,1000,12557,3266,0,1672,2,20000,11361,50000
3214,45124,0,35,1730,0,0,47160,46168,0,49513,0,98775,1722,0,2119,0,5064,53433,100000
0,7431,2,57,2600,2,2,9937,9895,2,10571,1300,9629,350,2,1100,2,500,10749,80000
2915,124457,2,24,6600,2,0,105806,118666,0,91442,90000,98257,0,0,3154,2,2977,66762,90000
0,832,-1,27,0,-1,-1,825,0,0,521,1059,409,825,-1,528,-1,416,416,140000
4037,126082,0,39,6216,0,0,125205,127734,0,114667,3575,113304,4371,0,6613,0,4055,110138,200000
6700,181295,0,37,8019,0,0,181463,178857,0,175131,6120,178984,8008,0,6800,0,6324,170136,190000
4000,81133,0,45,3502,0,0,80822,81466,0,79652,3000,79207,3000,0,3100,0,3000,81165,80000
700,550,2,42,1974,-1,-1,1250,1974,2,700,1100,1400,0,2,0,-1,550,550,50000
830,7324,2,56,2609,0,0,9501,9808,2,9730,500,10029,0,2,0,0,400,9974,10000
718,206,-1,54,555,-1,-1,0,555,-1,468,0,718,0,-1,468,-1,366,366,300000
1230,8439,0,48,1188,0,-1,8638,7606,-1,390,215,1230,2000,-1,390,0,890,890,70000
17504,39936,-2,32,8666,0,-2,16998,16666,-2,0,0,17504,16998,-2,0,0,0,0,250000
0,0,-2,40,0,-2,-2,0,0,-2,0,0,0,0,-2,0,1,0,0,100000
291,291,-1,38,291,-1,-1,291,291,-1,291,1451,291,291,-1,291,-1,291,291,210000
0,14472,-2,40,680,-2,-2,0,680,-2,0,0,0,0,-2,0,-2,0,0,210000
2293,4935,-2,31,3796,-2,-2,5227,3796,-2,4739,3012,2291,5227,-2,4739,-2,1640,1640,220000
900,18355,0,51,1600,0,2,17676,17165,0,20278,0,18300,1500,0,3600,2,393,20192,20000
4854,198,-2,23,4848,-2,2,1276,4824,-2,10251,7328,4830,1282,-1,10251,-2,0,5706,150000
0,0,-2,28,0,-2,-2,0,0,-2,0,0,0,0,-2,0,1,0,0,360000
2000,50523,0,34,1763,0,0,46191,46054,0,45840,2100,45564,2500,0,2000,-1,2000,47077,150000
2022,83852,0,57,3477,0,0,83882,85008,0,65549,1740,66207,4100,0,2100,0,2156,60805,470000
0,27119,0,59,1700,0,2,30299,28081,2,31378,0,29516,3000,2,2500,0,1200,31914,200000
6194,211775,0,35,9883,0,0,218615,218246,0,137387,4817,221365,6000,0,30364,0,100018,201955,470000
5000,53340,0,32,69220,0,-1,69195,85711,0,12056,23219,59169,3095,0,2000,0,10058,10032,310000
5254,204191,0,28,9000,0,0,185587,204530,0,140051,5000,136410,9007,0,6000,0,5500,142976,210000
6400,72991,0,27,3320,0,2,76083,75134,0,79906,3150,81183,2800,2,2870,0,0,75294,80000
0,11805,0,38,1400,0,-1,9331,12186,0,12457,1,6927,1023,-1,12469,0,598,8900,20000
8976,14315,-2,46,7097,-2,-2,6548,7097,-2,909,12710,8976,6548,-2,909,-2,17682,17682,390000
2000,18135,0,55,2000,0,0,17158,31498,0,17168,0,18758,4000,0,3000,0,0,0,100000
697,50701,0,37,2202,0,0,50218,50462,0,20072,674,20141,2083,0,711,0,717,19493,50000
1000,47163,0,27,1821,0,0,44400,86021,0,24574,1000,23954,3600,0,1000,0,1000,24772,80000
1857,40538,0,38,1988,0,0,58882,41870,0,51172,1500,59862,18000,0,1723,0,2075,52533,120000
3154,3158,-1,22,5572,-1,-2,3312,5547,-1,3022,2921,3145,3321,-1,3031,0,3339,3247,30000
1590,20556,0,35,9581,0,0,50175,25256,0,42815,1314,46516,30000,0,1472,0,1317,39004,260000
2872,48369,0,64,2384,0,-1,17403,44762,0,19000,2239,17907,5461,0,1093,0,19055,18055,50000
3600,71983,0,28,4000,0,-1,73274,71514,-1,3333,3110,3541,7000,-1,3333,0,3333,3333,130000
797,6615,0,30,1135,0,0,8649,7640,0,9008,490,9302,1144,2,0,0,329,9188,50000
11,27181,0,37,7254,0,-1,7218,12525,0,6371,2899,2183,2208,-1,6402,-1,5234,5208,500000
1118,27358,0,34,1750,0,2,26723,25652,0,28616,0,27104,1800,0,2100,2,1100,29102,30000
7229,10804,-2,41,34415,-2,-2,14510,34407,-2,12806,11405,7229,14565,-2,12806,-2,35433,35433,220000
2500,82691,0,34,3500,0,0,76835,75867,0,60694,2500,70722,3200,0,2400,0,2500,62032,280000
6506,186248,0,26,18000,0,0,145248,178001,0,22312,2000,58142,5044,0,500,0,500,7340,180000
3407,93970,0,51,3799,0,0,92293,93752,0,95478,5135,92434,3269,0,5024,0,5056,40514,100000
6295,43311,-1,37,5377,0,0,9360,16348,-1,14844,5002,6295,9383,0,10018,0,21939,29065,80000
3400,111483,2,25,5900,2,0,114087,114125,2,112268,4000,113879,3500,2,0,2,4000,107423,110000
2426,73798,0,27,4794,0,0,75559,74781,0,56197,913,76426,5560,0,3521,0,1641,42998,500000
206,1485,-1,30,0,0,0,11970,-9,0,10116,11591,10292,11979,0,10,0,4,829,300000
326,326,-1,31,326,-1,0,326,326,-1,76465,5000,326,326,-1,76465,-1,5000,79695,180000
0,1050,3,24,0,2,3,1050,1050,3,1050,0,1050,0,3,0,2,0,1050,30000
390,390,-1,37,390,-1,-1,390,390,-1,390,780,390,390,-1,390,-1,390,390,360000
184,13194,0,29,9403,-1,-1,15383,9403,0,8499,5256,9189,10007,0,170,-1,1738,1738,130000
200,9934,0,36,1000,0,0,1394,10305,0,566,0,1594,1000,0,0,0,0,0,30000
7522,332721,0,30,10896,0,0,219739,277080,0,179350,5000,210142,8123,0,7003,2,4700,130328,430000
0,16641,0,23,1602,0,2,18635,17969,0,19909,652,-1542,1268,-1,21451,0,0,19417,20000
0,50342,0,32,8025,0,-2,40893,44659,0,-45,0,-45,5023,-2,0,0,5250,0,50000
2000,129996,0,26,7000,0,0,127275,132004,0,48875,2000,48724,5000,0,2000,0,2000,49667,140000
27110,11494,-1,32,9139,-1,-1,5455,9085,-1,8734,2648,26975,5481,-1,29889,-1,10809,10756,200000
7300,297192,0,27,0,2,0,283374,284462,0,234017,3500,238039,11143,0,6024,1,6000,145132,280000
2500,43596,2,44,5000,0,0,43976,46320,0,38113,1000,44287,0,0,1500,0,2000,30778,50000
1000,13717,0,23,2008,0,0,9847,13822,0,6413,1000,5892,1106,0,1000,0,1000,6915,50000
1289,49547,0,32,2100,0,0,50275,49740,0,19964,1000,20089,2097,0,712,0,713,19918,50000
390,390,-1,46,390,-1,-1,390,390,-1,390,780,390,390,-1,390,-1,390,390,140000
0,14993,0,22,1800,0,-2,18300,16244,0,-1900,0,18100,2800,0,0,0,1900,0,20000
0,47411,0,29,1300,0,-2,15688,19817,0,0,0,0,1210,-2,0,0,0,0,50000
2802,84484,0,39,3007,0,0,77640,79099,0,80010,80000,78369,2804,0,2901,0,5000,83683,180000
7283,212943,0,39,16923,0,0,213931,216910,0,211098,6000,212770,7714,0,7407,0,10000,202491,290000
0,0,-2,36,0,-2,2,0,0,-2,982,1500,0,0,-1,982,1,0,832,60000
2000,12893,0,38,0,2,0,14967,12447,0,16427,2000,16773,3000,2,0,1,3000,19053,100000
0,29866,0,41,1900,0,-2,0,30900,-2,0,0,0,0,-2,0,0,0,0,30000
0,780,2,30,780,-1,-1,780,780,2,390,0,0,0,-1,390,-1,1320,1320,50000
2000,37350,0,23,3000,0,0,40779,39740,0,42916,2000,41793,2000,0,1800,2,2000,44199,50000
0,5520,-2,29,0,-2,-2,0,0,-2,0,0,0,0,-2,0,-2,0,0,50000
773,19369,-2,53,3900,2,-1,3167,3888,-2,9703,4380,-129,3179,-1,9832,2,10084,9871,20000
3096,41116,-2,36,5071,-2,-2,31177,38144,-2,13818,3,27185,3041,-2,3845,-2,212,8477,410000
1845,21293,-1,43,70973,-1,0,9217,70962,-1,41194,1374,1845,9226,-1,41194,-1,2920,40325,100000
2000,19073,0,33,3895,2,0,57525,16106,0,52458,1235,54990,50000,0,2000,1,2344,54093,80000
35002,10226,-1,31,5873,-2,0,52983,5671,0,52378,10000,70672,52983,0,10203,-2,7500,56360,430000
2000,89418,0,28,4000,0,0,75028,83196,0,60346,1700,65086,2338,0,2018,0,2000,52272,130000
0,37611,2,47,0,2,0,40985,36726,3,39354,3000,40085,4898,2,0,1,1800,40322,40000
2000,33547,2,45,4000,2,0,35965,36991,2,36781,0,37246,0,2,0,2,1200,20650,40000
